,company,job_title,salary,location,description,date
4,"
        Amico Packaging Leicester Ltd.",Data Entry / Marketing / Online Selling,Nothing_found,Leicester,"
            EBay, Amazon , Website Order handling. Some time listings on eBay / Amazon and on our ecommerce website. Semi skilled in marketing specially on social media.",25 days ago
5,"

        Foxtons",Data Protection Assistant,Nothing_found,London,"
            Data Protection Assistant Currently recruiting Job…",30+ days ago
6,"

        Skipton Building Society",Data and Reporting Analyst,Nothing_found,Skipton BD23,"
            This is an exciting opportunity for someone to join the Data & Information Team as our new Data and Reporting Analyst. The same goes for our people.",12 days ago
7,"

        Birmingham City University",Data Analyst,"
                            £31,872 - £34,644 a year",Birmingham,"
            You will be highly data literate and have experience in interrogating complex data sources. Are you a student data expert who can bring your skills and…",16 days ago
8,"

        Beazley",Junior Data Scientist,Nothing_found,Birmingham,"
Data Science Team, Underwriting Technology Manager, Underwriters, Claims Managers, “Faster, Smarter Underwriting” Strategic Initiative Delivery Group, Actuaries…",17 days ago
9,"

        Transport for London",Customer Service Assistant 2 - Full Time,"
                            £26,111 a year",London,"
            Customer Service Assistant 2 - Full Time 031529. Please note that applying for this role means you have read and understood this advert and any associated links…",23 days ago
10,"

        Citi","Global Banking - Business Management, Analyst (Europe, Middle East, and Africa)",Nothing_found,Canary Wharf,"
            You're the brains behind our work. Citi’s Institutional Clients Group (ICG) is looking for an Analyst to join the Global Subsidiaries Group (GSG) Business…",8 days ago
11,"

        McLaren",Finance Analyst,Nothing_found,Woking,"
            Either way, you’ll have an excellent understanding of data and how to derive insight from it. You’ll be preparing high quality, data driven insights, analysis…",30+ days ago
12,"

        Sherwood Forest Hospitals NHS Foundation Trust",Data Quality Assistant,"
                            £18,813 - £20,795 a year",Sutton-In-Ashfield NG17,"
            Extensive knowledge of data analysis techniques and strong analytical skills. You will be working as part of a team assisting in the delivery of outcomes and…",7 days ago
13,"

        H&M",Logistics Associate,Nothing_found,Milton Keynes,"
            Using DC technology to accurately record and input data. NOW RECRUITING FOR OUR NEW. We are pleased to announce that we are recruiting.",30+ days ago
14,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
15,"

        DJ Alexander",Experienced Data Analyst,Nothing_found,Nothing_found,"
            Experienced Data Analyst required - Edinburgh. Up-to-date knowledge of technology and data regulations. We are supported by EPCC and The Data Lab.",Nothing_found
16,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
17,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
